date,1. open,2. high,3. low,4. close,5. volume
2021-09-24 12:56:00,298.4,298.44,298.38,298.4384,12133.0
2021-09-24 12:55:00,298.43,298.44,298.39,298.39,11563.0
2021-09-24 12:54:00,298.41,298.4399,298.37,298.4347,20934.0
2021-09-24 12:53:00,298.4446,298.4446,298.37,298.405,13061.0
2021-09-24 12:52:00,298.45,298.5,298.37,298.415,23770.0
2021-09-24 12:51:00,298.59,298.62,298.42,298.4599,35326.0
2021-09-24 12:50:00,298.52,298.6,298.52,298.6,22782.0
2021-09-24 12:49:00,298.57,298.6,298.5,298.5121,7295.0
2021-09-24 12:48:00,298.6,298.6,298.49,298.52,14963.0
2021-09-24 12:47:00,298.58,298.62,298.54,298.59,25551.0
2021-09-24 12:46:00,298.56,298.57,298.5,298.56,19936.0
2021-09-24 12:45:00,298.46,298.58,298.46,298.5633,18920.0
2021-09-24 12:44:00,298.425,298.48,298.38,298.47,15340.0
2021-09-24 12:43:00,298.4955,298.5016,298.39,298.4,15433.0
2021-09-24 12:42:00,298.49,298.53,298.46,298.4966,41886.0
2021-09-24 12:41:00,298.34,298.49,298.34,298.49,29369.0
2021-09-24 12:40:00,298.25,298.3499,298.23,298.34,24445.0
2021-09-24 12:39:00,298.33,298.33,298.19,298.24,22766.0
2021-09-24 12:38:00,298.2433,298.36,298.24,298.33,21777.0
2021-09-24 12:37:00,298.16,298.26,298.14,298.23,19582.0
2021-09-24 12:36:00,298.16,298.1905,298.13,298.1545,15809.0
2021-09-24 12:35:00,298.15,298.21,298.12,298.14,16667.0
2021-09-24 12:34:00,298.2,298.24,298.14,298.18,19769.0
2021-09-24 12:33:00,298.26,298.29,298.19,298.19,14115.0
2021-09-24 12:32:00,298.35,298.39,298.21,298.24,20788.0
2021-09-24 12:31:00,298.32,298.39,298.32,298.36,12083.0
2021-09-24 12:30:00,298.25,298.34,298.24,298.3,16060.0
2021-09-24 12:29:00,298.24,298.3,298.24,298.2599,14593.0
2021-09-24 12:28:00,298.29,298.32,298.21,298.22,24034.0
2021-09-24 12:27:00,298.4,298.48,298.26,298.275,24871.0
2021-09-24 12:26:00,298.29,298.44,298.29,298.39,39827.0
2021-09-24 12:25:00,298.1939,298.29,298.15,298.28,30526.0
2021-09-24 12:24:00,298.17,298.21,298.1016,298.19,23757.0
2021-09-24 12:23:00,298.05,298.15,298.05,298.1405,22618.0
2021-09-24 12:22:00,298.23,298.23,298.05,298.06,34478.0
2021-09-24 12:21:00,298.13,298.24,298.13,298.2385,24018.0
2021-09-24 12:20:00,298.0564,298.16,298.0564,298.13,22420.0
2021-09-24 12:19:00,297.9,298.08,297.9,298.0286,28254.0
2021-09-24 12:18:00,297.89,297.9,297.85,297.89,13685.0
2021-09-24 12:17:00,297.89,297.99,297.85,297.89,27320.0
2021-09-24 12:16:00,297.925,297.96,297.81,297.9,26728.0
2021-09-24 12:15:00,297.93,298.0002,297.91,297.93,27437.0
2021-09-24 12:14:00,297.7482,297.9605,297.7482,297.91,31358.0
2021-09-24 12:13:00,297.65,297.77,297.65,297.75,18001.0
2021-09-24 12:12:00,297.68,297.725,297.61,297.65,21867.0
2021-09-24 12:11:00,297.6,297.68,297.5801,297.67,19142.0
2021-09-24 12:10:00,297.46,297.61,297.46,297.59,31776.0
2021-09-24 12:09:00,297.3794,297.4761,297.29,297.4761,26988.0
2021-09-24 12:08:00,297.359,297.3965,297.3,297.36,20946.0
2021-09-24 12:07:00,297.45,297.5,297.36,297.36,16471.0
2021-09-24 12:06:00,297.36,297.48,297.31,297.45,26450.0
2021-09-24 12:05:00,297.3578,297.39,297.31,297.325,14752.0
2021-09-24 12:04:00,297.37,297.41,297.33,297.35,16338.0
2021-09-24 12:03:00,297.53,297.5524,297.37,297.37,15338.0
